Title,Year,Age,IMDb,Rotten Tomatoes
The Messenger,2009,18+,7.1,89%
Cartel Land,2015,18+,7.4,90%
A Brilliant Young Mind,2014,13+,7.1,87%
The Next Three Days,2010,13+,7.4,51%
"Waiting for ""Superman""",2010,7+,7.5,90%
The Skeleton Twins,2014,18+,6.8,87%
I Can Only Imagine,2018,7+,7.3,61%
Johnny Guitar,1954,none,7.7,93%
Star Trek III: The Search for Spock,1984,7+,6.7,80%
"Juliet, Naked",2018,18+,6.6,83%
Standing in the Shadows of Motown,2002,7+,7.8,91%
Arbitrage,2012,18+,6.6,88%
Rare Exports: A Christmas Tale,2010,18+,6.7,89%
Jackass 3D,2010,18+,7,65%
2 Days in Paris,2007,18+,6.8,87%
The Cooler,2003,18+,6.9,77%
Transformers: Dark of the Moon,2011,13+,6.2,35%
Wayne's World 2,1993,13+,6.2,61%
No Strings Attached,2011,18+,6.2,49%
Operation Finale,2018,13+,6.6,60%
The Domestics,2018,18+,5.7,100%
Andy Irons: Kissed by God,2018,none,8.3,100%
The Commuter,2018,13+,6.3,56%
Footloose,2011,13+,5.9,69%
Charlotte's Web,1973,all,6.9,76%
The Spy Who Dumped Me,2018,18+,6,49%
Burn,2012,none,7.5,100%
Margarita with a Straw,2015,13+,7.2,86%
Odd Thomas,2013,13+,6.8,38%
Every Day,2018,13+,6.4,63%
It's a Disaster,2013,18+,6.4,79%
The Frozen Ground,2013,18+,6.4,61%
Death Wish,2018,18+,6.4,18%
Anna and the Apocalypse,2017,18+,6,77%
Star Trek: Insurrection,1998,7+,6.4,55%
Bad Company,1972,7+,7,92%
Dior and I,2015,18+,7.3,84%
Gorky Park,1983,18+,6.8,75%
High Strung,2016,7+,6.4,75%
The Last Days,2013,none,6.1,89%
Man on a Ledge,2012,13+,6.6,32%
Meek's Cutoff,2010,7+,6.5,86%
Pet Sematary,2019,18+,5.7,58%
The Overnight,2015,18+,6.1,83%
Star Trek: The Motion Picture,1979,7+,6.4,42%
Southbound,2015,18+,5.9,80%
American Ultra,2015,18+,6.1,43%
Hellbound: Hellraiser II,1988,18+,6.5,52%
Paranormal Activity 2,2010,18+,5.6,59%
Friends with Kids,2012,18+,6.1,67%
I Remember You,2017,18+,6.1,86%
Forever My Girl,2018,7+,6.7,24%
Welcome to the Rileys,2010,18+,7,54%
"Elvira, Mistress of the Dark",1988,13+,6.6,47%
A Very Sordid Wedding,2017,18+,5.3,86%
The Canal,2014,none,5.8,71%
Hello I Must Be Going,2012,18+,6.2,75%
Middle Men,2009,18+,6.8,40%
Touched with Fire,2016,18+,6.2,68%
Starfish,2018,none,5.3,90%
The Yellow Handkerchief,2009,13+,6.7,66%
Downsizing,2017,18+,5.7,47%
Lowlife,2017,none,6.2,91%
The Bookshop,2017,7+,6.5,57%
Girls Just Want to Have Fun,1985,7+,6,38%
Overboard,2018,13+,6,24%
Henry Gamble's Birthday Party,2015,18+,6.1,83%
Finding Your Feet,2017,13+,6.7,70%
AWOL,2017,none,5.5,93%
Haze,2017,18+,5.9,88%
Scotch: A Golden Dream,2019,none,7.5,75%
The Prodigy,2019,18+,5.8,42%
The Hustle,2019,13+,5.4,14%
The Unicorn,2019,none,5.1,91%
Case 39,2009,18+,6.2,21%
A Good Old Fashioned Orgy,2011,18+,6.1,35%
Children of the Corn,1984,18+,5.7,35%
Friday the 13th: The Final Chapter,1984,18+,6,20%
Wonder Park,2019,7+,5.8,34%
We Are What We Are,2010,none,5.7,72%
The Tall Man,2012,18+,5.9,41%
What Men Want,2019,18+,5.2,42%
The Kid,2019,18+,5.9,45%
The Whistle Blower,1986,7+,6.2,88%
Wild Card,2015,18+,5.6,32%
Run the Race,2019,7+,5.9,40%
House of D,2004,13+,7,10%
Digging for Fire,2015,18+,5.8,66%
The Brink,2019,18+,6.1,84%
Conan the Barbarian,2011,18+,5.2,25%
Cantinflas,2014,7+,6.5,45%
Madea's Big Happy Family,2011,13+,4.7,37%
I Still See You,2018,13+,5.8,8%
The Girl King,2015,none,5.9,42%
Foxfire,1996,18+,6.2,27%
Star Trek V: The Final Frontier,1989,7+,5.5,22%
Acrimony,2018,18+,5.8,17%
Friday the 13th Part III,1982,18+,5.7,12%
"Race for Your Life, Charlie Brown",1977,all,7.3,none
Permanent,2017,13+,5.5,44%
Crash Pad,2017,18+,5.7,54%
Abduction,2011,13+,5.1,5%
The Big Wedding,2013,18+,5.6,7%
Madea's Witness Protection,2012,13+,4.9,19%
Playing It Cool,2014,18+,6,14%
The Pink Panther 2,2009,7+,5.6,13%
Texas Chainsaw 3D,2013,18+,4.8,19%
American Folk,2018,7+,6.1,76%
The Alchemist Cookbook,2016,18+,5.1,80%
"I, Frankenstein",2014,13+,5.1,5%
Bolden,2019,18+,5.6,70%
Getting Go: The Go Doc Project,2013,none,7,none
Sherlock Gnomes,2018,7+,5.2,27%
The Numbers Station,2013,18+,5.6,30%
The Gardener,2017,none,6.9,75%
Legendary,2010,13+,6.2,19%
Back in Time,2015,none,6.3,none
Fun Size,2012,13+,5.4,25%
Black Gold,2011,18+,6.7,11%
Vault,2019,18+,5.4,none
Dark Shadows: The Haunting of Collinwood,2009,7+,8,none
Nobody's Fool,2018,18+,4.8,24%
The Burden,2017,none,7,97%
Girl Most Likely,2012,13+,5.8,22%
ma ma,2015,18+,6.4,25%
The Cokeville Miracle,2015,13+,5.2,none
Matriarch,2018,18+,5.4,none
Dr. T & the Women,2000,18+,4.6,56%
Assassination Tango,2002,18+,5.8,47%
Serena,2014,18+,5.4,16%
Dismissed,2017,none,5.7,none
The Confessions,2016,none,6.1,50%
Sprung,1997,18+,5,22%
Hannie Caulder,1971,18+,6.3,none
Daylight's End,2016,none,5.4,none
Gator,1976,7+,5.9,none
Get Big,2017,none,6.3,none
The Dinner,2017,18+,4.5,46%
A Madea Family Funeral,2019,13+,4.4,12%
Swindle,2013,all,6.3,none
Breakup at a Wedding,2013,13+,5.1,67%
Action Point,2018,18+,5.1,13%
Strategic Air Command,1955,none,6.4,none
Some Kind of Hero,1982,18+,5.8,40%
We Die Young,2019,18+,5.3,none
Ride,2018,none,4.7,none
Silent Tongue,1993,13+,5.3,38%
The Sweet Life,2017,none,6.2,none
It Came from the Desert,2017,none,4.2,60%
The Taste of Money,2012,none,5.7,28%
Madonna and the Breakfast Club,2019,none,6.6,none
Inside,2017,none,4.8,32%
Ron White: A Little Unprofessional,2012,none,7.4,none
Out of the Dark,2014,18+,4.8,24%
The Sender,1982,18+,6,none
Eyes of an Angel,1991,13+,5.4,none
Bernie the Dolphin,2018,all,5,none
The Other Man,2008,18+,5.4,15%
35 and Ticking,2011,18+,5.6,none
Feral,2018,none,4.6,33%
No Holds Barred,1989,13+,4.4,11%
The Reunion,2011,13+,5.2,8%
Allure,2018,none,4.9,38%
Concrete Kids,2018,none,6.4,none
Catching Faith,2015,none,4.8,none
Albert,2016,all,6.4,none
Warpath,1951,none,6.3,none
"Good Morning, Killer",2011,16+,5.1,none
Hide,2011,16+,5.2,none
Funke,2018,none,7.8,none
Crooked Hearts,1991,18+,6,none
Inside Out,2011,13+,4.5,25%
Savage Youth,2018,none,5.2,none
Dark Shadows: The Vampire Curse,2009,none,7.5,none
Rain,2006,all,5.7,none
I Am Alone,2015,none,4.5,none
Nothing Is Truer than Truth,2018,none,7.4,none
D.L. Hughley: Reset,2012,18+,6.7,none
Hornet's Nest,2012,16+,4.7,none
All About E,2015,none,4.8,none
Bad Roomies,2015,none,5.1,none
Beneath the Darkness,2012,18+,4.5,4%
The Box,2018,none,5.7,none
Bigfoot Girl,2019,none,2.8,none
The Eagle and the Hawk,1950,none,6,none
Beyond the Comfort Zone - 13 Countries to K2,2018,none,6.2,none
Ricochet,2011,16+,4.6,none
EuroTrump,2017,none,6.8,none
Air Strike,2018,18+,3.2,none
No Way Out,2015,none,4.5,none
Amy Winehouse - A Last Goodbye,2011,none,6.3,none
24 Hour Love,2013,18+,3.8,none
Pony Express,1953,none,5.9,none
After Darkness,2019,18+,3.6,none
Hot Guys with Guns,2013,none,5.6,none
Richard The Lionheart,2013,18+,2.3,none
"Michael Jackson: Life, Death and Legacy",2012,none,6.1,none
Danny Roane: First Time Director,2006,18+,4.5,none
Night of the Living Dead 3D,2007,18+,3.1,none
Law of the Lawless,1964,none,6.1,none
The Lonely Man,1957,none,6.5,none
The Clintons: An American Odyssey,2012,none,2.7,none
Boomtown,2017,none,5.1,none
Night of the Living Dead: Resurrection,2012,18+,2.5,none
Alien Contact,2020,none,none,none
The Avengers,2012,13+,8,92%
It's a Wonderful Life,1946,7+,8.6,94%
Downfall,2004,18+,8.2,90%
Sunset Boulevard,1950,none,8.4,98%
Airplane!,1980,7+,7.7,97%
Some Like It Hot,1959,none,8.2,95%
The Handmaiden,2016,none,8.1,95%
Rosemary's Baby,1968,18+,8,96%
Amores Perros,2000,18+,8.1,92%
Lady Bird,2017,18+,7.4,99%
Roman Holiday,1953,all,8,98%
The Girl with the Dragon Tattoo,2009,18+,7.8,85%
The Big Sick,2017,18+,7.5,98%
Manchester by the Sea,2016,18+,7.8,96%
The Man from Nowhere,2010,18+,7.8,100%
Short Term 12,2013,18+,8,98%
Thor,2011,13+,7,77%
Captain America: The First Avenger,2011,13+,6.9,80%
Night of the Living Dead,1968,18+,7.9,97%
The Machinist,2004,18+,7.7,77%
The Conversation,1974,7+,7.8,98%
Dear Zachary: A Letter to a Son About His Father,2008,none,8.6,94%
Diabolique,1955,none,8,96%
The Disaster Artist,2017,18+,7.4,91%
Iron Man 2,2010,13+,7,73%
Pi,1998,18+,7.4,88%
The Lighthouse,2019,18+,7.6,90%
The Farewell,2019,7+,7.6,98%
The Wailing,2016,18+,7.5,99%
A Trip to the Moon,1902,all,8.2,100%
The General,1926,none,8.1,93%
Nosferatu,1922,none,7.9,97%
The Cabinet of Dr. Caligari,1920,7+,8.1,100%
Charade,1963,13+,7.9,94%
Apocalypto,2006,18+,7.8,66%
Stop Making Sense,1984,none,8.6,100%
Eighth Grade,2018,18+,7.4,99%
Hereditary,2018,18+,7.3,89%
Temple Grandin,2010,7+,8.3,100%
The Lincoln Lawyer,2011,18+,7.3,84%
His Girl Friday,1940,7+,7.9,98%
"Aguirre, the Wrath of God",1972,none,7.9,98%
In the Heat of the Night,1967,13+,7.9,94%
Stalag 17,1953,none,8,97%
Logan Lucky,2017,13+,7,92%
The Act of Killing,2012,none,8.2,95%
Leave No Trace,2018,7+,7.2,100%
Harold and Maude,1971,7+,7.9,84%
The Man Who Shot Liberty Valance,1962,13+,8.1,93%
Escape from New York,1981,18+,7.2,86%
Mississippi Burning,1988,18+,7.8,83%
Inside Llewyn Davis,2013,18+,7.5,92%
Paradise Lost: The Child Murders at Robin Hood Hills,1996,none,8.3,100%
The African Queen,1951,7+,7.7,98%
Pride,2014,18+,7.8,91%
Chak De! India,2007,7+,8.2,94%
Dead Man Walking,1995,18+,7.5,95%
Grizzly Man,2005,18+,7.8,92%
A Bittersweet Life,2005,none,7.6,100%
Tumbbad,2018,none,8.3,89%
A Man Called Ove,2015,13+,7.7,90%
The Imposter,2012,18+,7.5,95%
Capote,2005,18+,7.3,90%
Midsommar,2019,18+,7.1,83%
Deep Red,1975,18+,7.6,96%
The Salesman,2016,13+,7.8,96%
3-Iron,2004,18+,8,87%
To Catch a Thief,1955,7+,7.4,96%
Queen,2013,13+,8.2,86%
Samsara,2011,13+,8.5,76%
The Discreet Charm of the Bourgeoisie,1972,7+,7.9,98%
The Hours,2002,13+,7.5,80%
Seven Psychopaths,2012,18+,7.2,82%
For Sama,2019,7+,8.5,99%
Sweet Smell of Success,1957,none,8.1,98%
Bridget Jones's Diary,2001,18+,6.7,80%
The Last Waltz,1978,7+,8.2,98%
Lars and the Real Girl,2007,13+,7.3,81%
The Look of Silence,2014,13+,8.3,96%
Cold War,2018,18+,7.6,93%
Bone Tomahawk,2015,none,7.1,91%
Honey Boy,2019,18+,7.3,94%
Veer-Zaara,2004,7+,7.8,92%
The Virgin Suicides,1999,18+,7.2,76%
Paterson,2016,18+,7.4,96%
Fiddler on the Roof,1971,all,8,83%
The Return of the Living Dead,1985,18+,7.3,92%
The Long Goodbye,1973,18+,7.6,97%
Black Book,2006,18+,7.7,75%
Legends of the Fall,1994,18+,7.6,58%
Clue,1985,7+,7.3,62%
mid90s,2018,18+,7.4,81%
My Name Is Nobody,1973,7+,7.5,100%
Raazi,2018,none,7.8,100%
Highlander,1986,18+,7.1,69%
The Italian Job,1969,all,7.3,83%
I Am Not Your Negro,2017,18+,7.8,99%
The Ghost Writer,2010,13+,7.2,84%
