Title,Year,Age,IMDb,Rotten Tomatoes
Battle Queen 2020,2001,18+,3.2,none
Hectic Knife,2016,none,5.6,none
Flucht nach Berlin,1961,none,7.2,none
The Sea Ghost,1931,none,5.6,none
Stevie D,2016,none,4.9,none
Mach 2,2001,18+,3,none
Cold Blood,1975,none,5,none
Superargo and the Faceless Giants,1968,all,4.8,none
The Ladies of the House,2015,18+,4.8,none
High The True Tale of American Marijuana,2008,none,6.5,none
On the Black Hill,1988,none,6.4,none
AWOL-72,2015,18+,3.8,none
That Night,2013,none,5.9,none
The Luck of Roaring Camp,1937,none,5.9,none
Norman Mailer: The American,2012,13+,6.4,none
Luke and Lucy: The Texas Rangers,2009,7+,5.6,none
The Case for Israel: Democracy's Outpost,2009,none,6.4,none
The Light of Freedom,2013,7+,3.7,none
Mekonen: The Journey of an African Jew,2016,none,8.3,none
American Mind Control: MK Ultra,2015,none,5.7,none
The Scam,2012,none,6.4,none
No Safe Haven,1987,18+,4.2,none
Murder Mansion,1972,none,5,none
NY Export: Opus Jazz,2010,none,7.4,none
The Underground Sinema,2015,18+,3.6,none
Under California Stars,1948,none,5.9,none
5 Weddings,2018,none,3.5,17%
The Savage Wild,1970,all,6.6,none
Chiller,1985,13+,4.5,none
Black Ballerina,2016,all,8,none
Straight Outta Oakland,2014,none,7,none
Black Oak Conspiracy,1977,18+,5.8,none
Rickover: The Birth of Nuclear Power,2014,7+,5.8,none
The Employer,2013,18+,4.4,none
Listen,2013,none,6.1,none
Panic in Echo Park,1977,none,5.4,none
Black List,1972,none,5.6,none
Fishtales 3,2018,all,5.4,none
Gallagher: An Uncensored Evening,1980,none,7.9,none
Get Mean,1975,none,5.3,none
Leather,2013,none,5.1,none
A Tattered Web,1971,none,5.5,none
The Cookie Thief: A Sesame Street Special,2015,none,7.9,none
Game Therapy,2015,none,2.1,none
Planet of Dinosaurs,1977,7+,4,none
Cyborg X,2016,none,3.9,none
A Stand Up Guy,2016,none,4.6,none
The Executioner,2009,none,6.2,none
Greg Fitzsimmons: Life on Stage,2013,18+,6.8,none
Night Creature,1978,7+,3.6,none
Fist of Fury 3,1979,none,5.8,none
The Butcher,2006,18+,3.6,none
ET Contact: They Are Here,2017,7+,6,none
Reaching for the Moon,1930,none,5.6,none
King of the Newsboys,1938,none,5.9,none
En el ombligo del cielo,2012,18+,6.3,none
A Place Called Los Pereyra,2009,none,7,none
Maybe Baby,1988,none,5.5,none
Neath Canadian Skies,1946,none,6.7,none
Rootin' Tootin' Rhythm,1937,none,5.5,none
Venus & Fleur,2004,none,6,none
Saturday Night at the Baths,1975,18+,5.4,none
Meet Dr. Christian,1939,none,6.3,none
Fruitcake,2014,none,6.8,none
Buckshot,2017,none,5.8,none
After Kony: Staging Hope,2011,none,6.9,none
Knocking on Death's Door,1999,18+,3.9,none
Emergency Hospital,1956,none,6.1,none
Marathon,2010,none,6.5,none
Man on the Train,2011,13+,5.4,none
Crow Hollow,1952,none,6.1,none
The House on Mansfield Street,2018,13+,3.5,none
Sworn to Justice,1996,18+,5,none
Dalaw,2009,none,5.4,none
The Disappearance of Flight 412,1974,all,4.6,none
The Phantom in the House,1929,none,5.3,none
Dragon,2006,none,3,none
Blonde and Blonder,2008,13+,2.8,none
After Autumn,2007,none,6.7,none
Daughter of the West,1949,none,6.7,none
Reggie's Prayer,1996,none,4.7,none
Sky High,2012,none,7.3,none
Camp Blood First Slaughter,2014,18+,2.5,none
Coach of the Year,1980,all,5.2,none
Ultrasonic,2012,18+,5.5,13%
Bloody Drama,2017,none,3.2,none
American Bigfoot,2017,none,6,none
Overkill,1987,18+,3.6,none
Chaarulatha,2012,all,5.3,none
Patagonia Rising,2012,none,6.9,none
A Quiet Inquisition,2015,none,7.7,none
Managed Money,1934,none,5.3,none
Looking for Fidel,2006,none,6.7,none
Message From A Mistress,2017,none,4.4,none
Behave Yourself!,1951,none,5.6,none
The Big Boodle,1957,none,5.6,none
The Looking Glass,2011,none,5.5,none
The Vortex,2012,none,2.3,none
Judgment in Berlin,1988,7+,5.8,none
The Fantastical World of Hormones with Professor John Wass,2014,none,6.6,none
Cover Girl Killer,1959,none,5.9,none
Alcatraz,2018,none,3.3,none
The Director,2013,none,6.2,none
The White House: Inside Story,2017,7+,6.8,none
The Lawless Frontier,1934,none,5.2,none
Between Two Women,2004,none,6.3,none
Forgotten Evil,2017,16+,4.9,none
Nocturnal Agony,2014,none,6.5,none
Snoop Dogg Presents The Bad Girls of Comedy,2012,18+,7,none
The Girl Who Came Back,1935,none,5.7,none
We Was Homeboyz,2012,none,7.6,none
Eluka Majaka,2016,none,6.2,none
Killer Nerd,1991,none,4.1,none
The Truth,2010,none,4.7,none
Hero of the Underworld,2016,18+,4,none
Walk a Mile in My Pradas,2011,none,4.6,none
Jingle Hell,2000,none,6.4,none
Intuition,2014,none,6.9,none
National Lampoon Presents: Surf Party,2014,18+,none,none
Eddie Pepitone: In Ruins,2014,none,7,none
Tumsa Nahin Dekha,1957,none,7.1,none
Fiesta,1941,none,4.9,none
A Walk on the Moon,1987,none,6,none
The Gay Ranchero,1948,none,6.1,none
Shake Off the World,2016,none,5.5,none
The Last Film Festival,2016,18+,3.9,none
Donner Pass,2012,18+,4.5,none
Being Venice,2013,none,4.7,none
The Best of 'Autopsy': A Sex Crimes Special,2000,none,6.3,none
By God's Grace,2014,none,5.3,none
Fever Night: AKA Band of Satanic Outsiders,2009,none,4.2,none
The Crying Dead,2011,18+,4.3,none
Blood and Tears,1999,18+,5.5,none
Aaron Karo: The Rest Is History,2010,none,4.9,none
Hercules Against the Sons of the Sun,1964,none,4.4,none
Flyover Country,2014,none,5,none
Witchcraft 15: Blood Rose,2017,none,2.7,none
Barefoot Boy,1938,none,5.5,none
I Am What I Play,2015,none,7.7,none
The Snare,2017,none,3.5,none
Tradition is a Temple: The Modern Masters of New Orleans,2013,none,7.9,none
Law of the Jungle,1942,none,5.1,none
Four Boys and a Gun,1957,none,6.2,none
A Mother's Dream,2013,none,7.7,none
Manieggs - Revenge of the Hard Egg,2014,none,5,none
Terror In Beverly Hills,1989,none,3.3,none
Bible Prophecies,2018,none,8.1,none
The Dragon Fighter,1990,none,4.7,none
The Other Side,2014,none,3,none
Frank Nitti: The Enforcer,1988,13+,6,none
Seamonsters,2011,none,5.6,none
In His Steps,2013,none,5.1,none
Road to Juarez,2015,18+,4.9,none
Holes in Heaven,1998,none,7,none
Small Small Thing,2013,none,8.1,none
Dolly Deadly,2016,none,4.8,none
Killers from Space,1954,none,3.4,none
DNA,1997,18+,3.5,none
Group,2002,none,6.2,57%
Buck Wild,2013,none,4.8,none
Ian Harvie: May the Best Cock Win,2016,none,5.2,none
To Jennifer,2013,none,4.6,none
"Tom Rhodes: Light, Sweet, Crude",2012,none,5.5,none
Post impact,2004,18+,3.2,none
Global Meltdown,2017,18+,3.1,none
The Red Man,2016,none,4,none
Women of Twilight,1952,none,6.4,none
Hide and Go Kill,2008,none,5.3,none
In God's Time,2017,none,4.2,none
Blessed,2004,18+,4.2,none
War of the Satellites,1958,none,5.1,none
Confessions of an Action Star,2009,none,3.5,none
Billy Turner's Secret,1991,none,5.8,none
Double Cross,1941,none,5.3,none
My Boys Are Good Boys,1978,7+,4.7,none
The Over The Hill Gang Rides Again,1970,none,5.6,none
Melody for Three,1941,none,5.9,none
From Two Worlds as a Keepsake,2012,none,6.1,none
Stand Your Ground,2013,13+,5.3,none
Shut Up and Kiss Me,2010,18+,4.3,none
Sleeper,2012,18+,3.8,none
Blood Orange,2016,18+,4.3,none
Pride of Lions,2014,16+,3.8,none
Money Madness,1948,none,6.2,none
Never Wave at a WAC,1953,none,6,none
Gangster Story,1959,none,4.8,none
Lily & Kat,2015,none,4.7,none
Speak Easily,1932,none,5.9,none
Los Marcados,1971,none,6.3,none
Let's Get Tough,1942,none,5.6,none
The Border Legion,1940,all,6.9,none
Distiller,2016,none,4.9,none
Ghostkeeper,1981,18+,5,none
Outside Sales,2006,none,5.1,none
Payday,2013,none,7.7,none
Paradise Canyon,1935,none,5.2,none
S.I.N. Theory,2012,none,5.8,none
Justice Is Mind,2013,none,5.8,none
Deadwood '76,1965,none,4.7,none
Call of The Yukon,1938,none,5.4,none
The Daniel Project,2012,none,5,none
Rainbow Ranch,1933,none,5.1,none
Against the Dark,2009,18+,3.2,none
The Man Left Behind,2015,none,6.9,none
Come Simi,2015,none,5.7,none
God Went Surfing With The Devil,2010,none,7,none
UFOs and Nukes - The Secret Link Revealed,2016,none,7.5,none
Nigel & Oscar vs. The Sasquatch,2017,none,6.7,none
A Letter to a Terrorist,2013,none,7.7,none
Bruce Lee The Invincible,1978,18+,5.1,none
Fast Romance,2011,none,6.4,none
Romance in the Outfield,2015,7+,5.3,none
Bloodfist,1989,18+,4.8,none
How to Be a Billionaire,2014,none,6.8,none
Custer's Last Stand,1936,none,4.6,none
How Arnold Won the West,2004,none,5.9,none
Madison County,2011,18+,4.1,none
Life Tastes Good,1999,none,5,none
The Incomparable Rose Hartman,2016,16+,6.3,75%
Bradley Manning Had Secrets,2012,none,6.9,none
Action Stations,1943,none,5.4,none
The Auctioneer,2012,none,7.5,none
Chasing Beauty,2013,none,6,none
What Price Crime,1935,none,5.6,none
La Cucina,2007,none,4.7,none
East Side Kids,1940,none,5.7,none
The Survival Game,2012,18+,3.4,none
Savage Guns,1971,none,3.8,none
Assassins' Code,2011,18+,3.3,none
Heartaches,1947,none,6.6,none
Shaolin Drunken Monk,1982,none,5.6,none
It's in the Blood,2012,18+,4.5,none
Falling Up,2012,none,7.4,none
Child Bride,1938,none,4.5,none
Arch of Triumph,1985,none,5.5,none
The Fast and the Fierce,2017,none,2.3,none
Frontier Days,1934,none,4.6,none
Double Duty,2009,none,3.9,none
2010: Moby Dick,2010,none,2.4,none
No Substitute for Victory,1970,all,5.8,none
Paradox Alice,2012,18+,3.6,none
Marcus Garvey: A Giant of Black Politics,2008,none,4.6,none
The Opera Lover,1999,none,6.6,none
Holbein: Eye of the Tudors,2015,none,7.7,none
Savage Weekend,1979,18+,4.5,none
94 Feet,2016,7+,3.6,none
Vellaiya Irukiravan Poi Solla Maatan,2015,none,6.8,none
Idle Thoughts,2018,13+,5.1,none
The Emperor of Peru,1982,none,5.4,none
Arena of the Street Fighter,2012,none,3.3,none
From This Day Forward,2012,none,5.9,none
Grave of the Vampire,1972,7+,5,none
Redemption,2002,18+,5.3,none
Don't Hang Up,1974,7+,5.2,none
Karm,1977,none,6.9,none
The Large Rope,1953,none,6.2,none
Frontier Uprising,1961,none,5.2,none
Zombie Hunter,2013,18+,3.5,none
Bad City,2014,18+,5.4,none
Little Tough Guy,1938,none,6.4,none
The Frames: In the Deep Shade,2013,none,8.1,none
Marte Dam Tak,1987,none,6.1,none
Coming Home,2012,none,6.1,none
Terror from Beneath the Earth,2009,none,5.3,none
I Am a Teacher,2017,none,5.8,none
Vengeance of the Zombies,1973,none,4.8,none
Arizona Days,1937,none,4.9,none
Toxic Crusaders The Movie,1997,none,4.9,none
The Man Who Stopped the Desert,2010,none,7.7,none
Stomping Ground,2016,none,4.2,none
In the Doghouse,2014,none,7,none
Asylum: the Lost Footage,2013,13+,3.4,none
Sky Racket,1937,none,4.8,none
Elijah's Ashes,2017,none,5.4,none
Babes with Blades,2018,none,2.1,none
Cold Blooded,2012,none,5.5,none
Ghostline,2015,none,3.2,none
Navy Secrets,1939,none,5.9,none
Brothers O'Toole,1973,all,4.5,none
The Turnaround,2017,none,7.3,none
Branded a Coward,1935,none,5.8,none
Carlos el terrorista,1980,none,6.1,none
Law of the Lash,1947,all,6.6,none
Aeon: The Last Vampyre on Earth,2013,18+,4.5,none
Special Needs,2006,none,6.6,none
My Playground,2009,none,6.9,none
The Devil's Music,2008,none,4.3,none
Ball and Chain,2004,13+,4.6,none
Mike E. Winfield: Stepman,2019,none,6.2,none
Ablaze,2001,18+,3.2,none
Bad People,2016,none,3.8,none
Dead Cert,2010,none,3.6,none
Justin Bieber: Limitless,2014,none,2.4,none
Drunk on Love,2015,7+,5.1,none
Zombie Night,2013,16+,3.4,none
My Revolution,2016,none,3.5,none
Dark Remains,2005,18+,4.9,none
Swing Hostess,1944,none,6.1,none
American Joyride,2011,none,4.9,none
The Courageous Dr. Christian,1940,none,6.1,none
Half Shot at Sunrise,1930,none,6.1,none
Boogie Boy,1998,18+,5.1,none
Viking: The Berserkers,2014,none,3.2,none
A Doggone Hollywood,2017,7+,4.3,none
By Any Name,2017,none,4.7,none
Dead Man's Cards,2006,none,5.5,none
Tango,1936,none,5.7,none
Backstreet Justice,1994,18+,4.4,none
High Gear,1933,none,5.7,none
Born Wild,2012,18+,4.2,none
Before the Dark,2017,none,4.2,none
Money Means Nothing,1934,none,5.5,none
Redemption Trail,2013,none,5.7,none
The Abduction,1996,none,5.3,none
Love Takes Flight,1937,none,6.6,none
Julien & Claire,2011,none,7.2,none
What's the T?,2013,none,4.8,none
Death Ring,1992,18+,4.5,none
Badlands of Kain,2016,16+,5.2,none
All American Christmas Carol,2013,none,4.5,none
Asylum of Darkness,2017,none,3.2,none
"Gappa, the Triphibian Monster",1967,none,4.2,none
Shadow Builder,1998,18+,4.9,none
Target of an Assassin,1977,7+,5.1,none
Who's Your Monkey?,2007,18+,5.5,none
Seven Hours of Gunfire,1965,none,5,none
Matichya Chuli,2006,none,6.7,none
Alter Ego,2002,none,4.4,none
The Third Day,1965,none,5.7,none
Perfect Piece,2016,none,4.4,none
13th Child,2002,18+,2.9,40%
Blueprint,2017,none,6.1,none
Remarkable Power,2008,18+,5.5,none
They Came from Beyond Space,1967,none,4.6,none
Revelation Trail,2014,18+,4.5,none
The Extra Girl,1923,none,6.6,none
Love U... Mr. Kalakaar!,2011,all,5.4,none
Submarine Alert,1943,none,5.5,none
Savage Memory,2011,none,7.4,none
Ghostlight,2013,none,3.8,none
The Insomniac,2013,none,4.9,none
Trinity and Sartana Are Coming,1972,none,4.4,none
Ishq Garaari,2013,none,6.5,none
Stasis,2017,none,3,none
Baroudeur,2012,none,6.3,none
Colorado,1940,all,5.9,none
The Reckoning,1932,none,5.3,none
Anger of the Dead,2015,none,2.9,none
Unknown Powers,1978,7+,5.3,none
Americanizing Shelley,2007,7+,4.6,none
Good Satan,2012,none,6.3,none
Unshackled,2000,13+,6.3,none
Badaltey Rishtey,1978,none,6.7,none
7 Star Grand Mantis,1983,none,4.8,none
The Amityville Terror,2016,none,3.2,none
Himmat,1996,none,4.6,none
Balakrishnudu,2017,none,4.6,none
The Bridgewater Triangle,2013,none,5.4,none
Mary Loss of Soul,2015,none,3.7,none
Rising Star,2013,none,6.4,none
Southward Ho,1939,none,6.9,none
Suburbanite,2016,none,5.2,none
Sister Street Fighter: Fifth Level Fist,1976,none,5.6,none
Bugged,1997,13+,3.9,none
The Long Island Railroad Massacre: 20 Years Later,2013,none,5.2,none
The Odds,2012,18+,5,none
Blue Citrus Hearts,2003,none,5.2,none
M Cream,2016,13+,5.6,none
Born in Light: Tesla,2017,none,4.9,none
What Katy Did,2004,none,5.7,none
Dr. Kildare's Strange Case,1940,none,6.1,none
Edge of Salvation,2012,none,6.2,none
Young and Willing,1943,none,5.9,none
Clearing the Range,1931,none,5.3,none
Ares 11,2016,none,4.1,none
The Trail Beyond,1934,none,5.4,none
Hands Across the Border,1944,none,6.4,none
Bombs Over Burma,1942,none,5.2,none
8.5 Hours,2008,none,6.5,none
Promises! Promises!,1963,none,5.1,none
Badass Monster Killer,2015,none,5.3,none
Eyes of Texas,1948,all,6.5,none
Valley of the Fangs,1970,18+,6.4,none
Cold Deck,2015,none,5.5,none
Haunting of Winchester House,2009,none,3.4,none
A Free Bird,2014,18+,5.5,none
"Turtle Hill, Brooklyn",2013,none,5.6,none
Saltwater,2012,none,4.7,none
13 Hours in a Warehouse,2008,18+,3.8,none
Etgar Keret What Animal R U?,2013,none,none,none
Pride Divide,1997,none,6.5,none
Once and Future Queen,2000,none,5.9,none
Rip Roarin' Buckaroo,1936,none,5.6,none
Change of Life,2006,18+,5.4,none
Pray TV,1980,7+,5.3,none
Desert Command,1946,none,4.9,none
The First Secret City,2015,7+,7.7,none
Black Eagle Of Santa Fe,1965,none,5.3,none
Jungle Tales,2017,all,3.6,none
I Really Hate My Job,2007,none,5.2,none
Song of Texas,1943,none,6.4,none
Morgan's Ferry,1999,13+,5.5,none
Haunted 2: Apparitions,2018,none,1.9,none
My Little Sister,2016,none,3.1,none
Anjaneya,2003,none,3.7,none
Jackson Bolt,2018,none,4.2,none
A Clown's Recovery,2013,none,7,none
Dushmani: A Violent Love Story,1995,none,5.1,none
Carter's Army,1970,18+,5,none
Diamond Cartel,2017,none,3,none
Breaking Through,2013,none,7.8,none
Displacement,2017,none,4.4,none
Machine Head,2013,18+,2.7,none
The Last of the Vikings,1961,none,5,none
The 13th Man,2019,none,8.2,none
Dead List,2018,none,3,none
Hot Rod Girl,1956,none,5.2,none
Jesse James Meets Frankenstein's Daughter,1966,none,3.2,14%
Stalking Santa,2006,7+,5.4,none
Antisocial Behavior,2014,none,4.3,none
Cowboy and the Senorita,1944,none,5.9,none
American Bystander,2016,none,6.4,none
A Wedding Most Strange,2011,none,4.3,none
Idaho The Movie,2012,none,7.4,none
Mission of Burma: Not a Photograph - The Mission of Burma Story,2006,none,7.2,none
Drinksgiving,2018,18+,3.8,none
Crackerjack,1994,18+,4.6,none
All About Us,2007,7+,4.6,none
The Reckoning: Remembering the Dutch Resistance,2007,none,6.6,none
Bad Girl Island,2007,18+,3.4,none
Death Falls,1991,none,5.6,none
Sleepwalkers Who Kill,2001,none,5.6,none
Tom Thumb Meets Thumbelina,1996,none,5.9,none
The Flemish Farm,1943,none,5.9,none
Trapper Jake,2013,none,7.8,none
Adolf Hitler - My Part in His Downfall,1973,none,5.8,none
Barrio Brawler,2013,none,4,none
A Small Good Thing,2015,none,5.9,none
Deep Evil,2004,18+,4,none
Night Claws,2012,none,2.5,none
One Step Behind,2015,none,6.9,none
Shaolin Deadly Kicks,1982,none,5.5,none
Hail Caesar,1994,7+,3.2,none
Calendar Girl,1947,none,6,none
Samouraïs,2002,18+,3.3,none
La candidata,2016,none,7.6,none
She Had to Choose,1934,none,6.1,none
The Hairy Ape,1944,none,6.2,none
Final Appointment,1954,none,6.1,none
Alien Agenda: Project Grey,2007,none,3.6,none
Law Point,2014,none,5.3,none
Hybrid,2007,none,3.3,none
The Perfect Weapon,2016,13+,3.1,none
A Troubled Mind,2015,none,5,none
The Brick House,2013,none,5,none
Ibiza Undead,2016,none,3.2,none
Rim of the Canyon,1949,none,6.5,none
"OK, Good",2012,none,6.1,none
The Ouija Experiment,2011,none,3.2,none
The Four Deuces,1976,18+,4.4,none
Not Quite an Angel,1999,7+,5.2,none
Disconnect,2010,none,4.2,none
Ghost Witch,2015,none,3.9,none
Chrome and Hot Leather,1971,13+,5.4,none
Palace of Silents,2010,none,6.5,none
David Bromberg: Unsung Treasure,2012,none,8.1,none
Van Halen: The Van Halen Story,2003,none,5.5,none
HEART: Flatline to Finish Line,2016,none,8.1,none
Jimmy Dore: Sentenced To Live,2015,none,7,none
The Greatest Man in the World,1980,none,6.4,none
A Letter for Joe,2013,none,5.9,none
H and G,2013,none,5.6,none
Kalki,1996,none,6.5,none
The Other Side of the Mirror,2016,7+,2.3,none
The Last Alarm,1940,none,5.9,none
In Old Caliente,1939,all,5.8,none
Sunset Serenade,1942,all,6.6,none
Rough Draft,1998,18+,3.5,none
Navy SEALS v Demons,2017,none,4.6,none
The Gunman From Bodie,1941,none,6.6,none
The Pusher,1960,none,6.5,none
The Hurricane Express,1932,none,5.4,none
Back Road Diner,1999,none,4.7,none
Land Grab,2016,none,7.4,none
VA: The Human Cost of War,2017,none,none,none
"Frank Zappa - Freak Jazz, Movie Madness & Another Mothers",2014,none,none,none
Circumstances,2017,18+,none,none
Dan Cummins: Don't Wake The Bear,2017,none,none,none
Fetching,2013,none,6.3,none
The Mugger,1958,none,6,none
Dance for Me,2012,7+,6.7,none
Reunion,2009,none,4.4,19%
Age of the Dragons,2011,13+,3.4,9%
Whirlwind,2007,none,5.3,none
Doctor Spine,2011,none,5.4,none
Skyway,1933,none,5.7,none
They Shall Not Perish,2016,none,7.5,none
The Duel of the Century,1981,none,6.2,none
Godmonster of Indian Flats,1973,none,3.9,none
Last Flight Out,2004,none,5.5,none
The Casserole Club,2012,none,4.9,none
Telling of the Shoes,2014,none,5.3,none
Sprawling from Grace,2008,none,7.3,none
The Last Flight of Petr Ginz,2012,none,8,none
Way Down South,1939,none,5.5,none
The Screaming Skull,1958,none,3.8,none
Neath the Arizona Skies,1934,all,5.1,none
The Rocky Mountain Fly Highway,2014,none,7.9,none
The Shop,2014,none,4.8,none
BloodRayne: Deliverance,2007,18+,2.6,none
Avarice,2017,none,3.9,none
The Twilight People,1972,7+,4,none
"Run, Hide, Die",2015,none,3.1,none
The Sklar Brothers: What Are We Talking About?,2014,none,5.8,none
Play Nice,2014,none,6.6,none
The Norse: An Arctic Mystery,2012,none,6.8,none
Queen of Condoms,2007,none,6.9,none
Angel Camouflaged,2010,none,5.4,none
Billboard,2019,none,5.2,none
Udanchhoo,2018,none,3.8,none
Held Hostage,2009,7+,4.9,none
Skating to New York,2013,13+,5.6,none
The Woman Condemned,1934,none,4.4,none
Hunting Evil,2019,none,1.6,none
Samson and the Seven Miracles of the World,1961,none,5,none
Nuclear Family,2012,none,5.2,none
The Inquisition of Camilo Sanz,2014,none,6.4,none
Calígula,2015,none,5.6,none
Turning Point,2013,none,6.7,none
Where Evil Lives,1991,none,3.9,none
Lost Treasure,2003,18+,3.8,none
The Imagemaker,1986,none,5.1,none
Mind and Machine,2017,18+,3,none
Territorial Behavior,2015,none,3.9,none
Time Again,2011,none,5.2,none
Costa Rican Summer,2010,18+,2.7,none
Yellowneck,1955,none,4.3,none
A Path in Time,2005,none,4.5,none
Daniel's Lot,2010,none,5.3,none
Dutch Kills,2015,18+,5.1,none
Blazing Barriers,1937,none,5.2,none
Breakdown Lane,2017,none,2.7,none
"Karl Rove, I Love You",2007,none,6.4,none
The Nine Lives of Marion Barry,2009,7+,7.1,none
Playback,2010,18+,6.3,none
Palooka,1934,none,6.2,none
Chihuahua too!,2013,none,4.5,none
Enchiridion,2012,none,5.4,none
Western Religion,2015,none,4,none
Rhythm in the Clouds,1937,none,5.7,none
In Their Own Words: The Tuskegee Airmen,2016,none,7.3,none
Bandhan,1998,7+,4.8,none
Maximum Shame,2010,none,2.6,none
Gallagher: We Need a Hero,1992,none,6.2,none
Roll on Texas Moon,1946,all,6.2,none
Craig Shoemaker: Daditude,2012,18+,6.7,none
Bheegi Raat,1965,none,6.3,none
The Whispering Skull,1944,none,6.3,none
Are You Scared 2,2009,18+,2.3,none
Bucksville,2011,none,5.2,none
Off Shore,2012,none,3.8,none
The Callback Queen,2013,none,4.4,none
Unexpected Places,2012,none,3.5,none
Theatre of the Deranged II,2013,none,5.3,none
Laughterhouse,1985,none,6,none
Hands of a Stranger,1962,none,5.1,none
American Warships,2012,18+,2.7,none
31 North 62 East,2009,18+,4.1,8%
Lamhaa,2010,none,5.1,none
Campbell's Kingdom,1957,none,6.3,none
Carnage for the Destroyer,2006,none,4,none
Blast,1997,18+,4.4,none
The Boatman,2015,none,6,none
Metamorphosis,1990,18+,3.8,none
Wedding Day,2012,none,3,none
He Who Dares: Downing Street Siege,2014,none,2.8,none
The Odyssey of Destiny,2014,none,4.9,none
The Mysterious Mr. Wong,1934,none,4.9,none
Lottery Road,2018,none,6.8,none
The Audition,2013,none,6.6,none
The Legend of Black Annie,2015,18+,3.2,none
Sucker Money,1933,none,4.8,none
The Alamo: A True Story of Courage,2004,none,5.8,none
My Brother's Keeper,2004,none,5.7,none
As Night Falls,2010,18+,2.7,none
Robert,2015,none,3.1,none
The Da Vinci Code Decoded,2004,none,5.4,none
California 90420,2012,none,6.1,none
Dark Silence,2016,none,3.1,none
Barstool Cowboy,2009,none,4.7,none
Shaolin Kung Fu Master,1980,none,5.7,none
Rent Control,2003,7+,3.8,none
Golden Winter,2012,7+,4.2,none
My Husband Is a Millionaire,1988,none,7.1,none
Someone I Touched,1975,none,6.9,none
The Little Bird and the Squirrel,2015,none,6,none
AE: Apocalypse Earth,2013,none,3.3,none
The Knot,2012,none,4.5,none
Lake Alice,2017,none,3.7,none
Rabid Love,2013,none,3.1,none
The Angry Brigade: The Spectacular Rise and Fall of Britain's First Urban Guerilla Group,1973,none,8.4,none
Dirty Energy,2012,all,7.7,none
Mazdoor,1983,none,6.6,none
Dark Mountain,1944,none,5.4,none
Against the Grain,2014,18+,6.9,none
Apollo 8: Christmas at the Moon,2002,none,6.7,none
Dragonfyre,2013,none,3.4,none
Feats First: The Life and Music of Lowell George,2015,none,7.9,none
Panman,2010,none,3.2,none
Buckets,2017,none,6.4,none
Terror at Blood Fart Lake,2009,none,3.9,none
Streets of Plenty,2010,none,6.4,none
Bear with Me,2000,none,5.5,none
The Virgin of Juarez,2006,18+,4.7,none
Atlantic Rim: Resurrection,2018,none,1.8,none
Exodus 1947,1997,none,6.6,none
Shaolin vs. Ninja,1983,none,5.3,none
Kaanchi: The Unbreakable,2014,7+,4.3,none
Termite: The Walls Have Eyes,2011,none,3.5,none
The Last Revolutionary,2017,none,7.6,none
Give Me One Reason,2015,none,none,none
American Conjuring,2016,none,2.4,none
Blood Monkey,2007,none,3.1,none
Yennamo Yedho,2014,none,3.5,none
The Game of Truth,2004,none,5.7,none
High Powered,1945,none,5.5,none
Love in the Nick of Tyme,2009,none,6.2,none
Lost: MH 370,2014,13+,5.3,none
TNT Jackson,1974,18+,4.7,none
Mega Shark vs. Crocosaurus,2010,18+,2.4,none
Paranormal Whacktivity,2013,18+,2.3,none
Boy of the Streets,1937,none,5.9,none
Things 4,2017,none,2.5,none
Finding Traction,2014,none,6.5,none
Inside the Garbage of the World,2016,none,6.8,none
Unsolved Suburbia,2010,none,3.5,none
Izzie's Way Home,2016,all,1.6,none
JT: Reflections,2013,none,7.3,none
The Hidden Faith of the Founding Fathers,2011,none,5.6,none
I Got Five on It,2005,none,4.6,none
When the Lights Go Out,2010,7+,6.1,none
No Weapon Shall Prosper,2014,none,6.1,none
The Vengeance of Ursus,1961,none,4.8,none
Goth,2003,18+,3.4,none
When Justice Fails,1999,18+,4.8,none
The Summoning,2017,none,3.3,none
Are You Scared?,2006,18+,3.1,none
Voices in the Tunnels,2008,13+,6.9,none
Donkey X,2007,7+,4.6,none
Anneliese: The Exorcist Tapes,2011,18+,2.9,none
Daniel's Daughter,2008,7+,6.1,none
Speedunnodu,2016,none,4.6,none
Little Spirit: Christmas in New York,2008,all,5,none
D.W. And the Beastly Birthday Party,2017,all,7.6,none
Unnatural & Accidental,2006,none,4.6,none
Rats,2003,18+,3.5,none
Jesse James' Women,1954,none,4.5,none
Paradise Island,1930,none,5,none
Fish N Chips: The Movie,2013,all,4.9,none
Sawan Ki Ghata,1966,none,6.6,none
Madame Sin,1972,none,6.3,none
Alien Domicile,2017,none,3.5,none
Anna,2017,18+,2.3,none
United Passions,2014,none,2.1,none
Geezas,2011,none,4.8,none
Groupie,2010,none,3.5,none
Origins of Life,2001,none,6.8,none
Nick Thune: Good Guy,2016,none,6.5,none
Point of Entry,2007,none,4.8,none
Bad Building,2015,none,3,none
BoardHeads,2010,none,6.6,none
The Virginian,2014,13+,4.7,none
Colby,2016,13+,6.5,none
Fairfield,2014,none,5.2,none
Final Verdict,2009,none,4.8,none
Air Panic,2002,18+,3.6,none
Corrado,2009,18+,3.3,none
House of Bad,2013,18+,3.1,none
The Death Merchant,1991,none,4.3,none
The Kid Ranger,1936,none,6.1,none
The Savage Girl,1932,none,4.5,none
Let Go and Let God,2019,none,3.4,none
El Evangelista,2006,none,7.5,none
